file_id,film_title,current_youtube_id,new_youtube_id,new_youtube_url,video_title,confidence_score,confidence_level,action_needed
P-61_FROS,1961 Family Celebrations - Disneyland and other parks with Wrens and Myres,placeholder_P-61_FROS,YFIDOmMvxiY,https://www.youtube.com/watch?v=YFIDOmMvxiY,1961 Family Celebrations - Disneyland and other parks with Wrens and Myres,1.000,High Confidence,AUTO_APPLY
62-SF_FROS,1962 Seattle World's Fair - Haywards Trip,placeholder_62-SF_FROS,0MADtWjYWLI,https://www.youtube.com/watch?v=0MADtWjYWLI,1962 Seattle World's Fair - Haywards Trip,1.000,High Confidence,AUTO_APPLY
SL-71X_FROS,1971 Hayward Family Christmas,placeholder_SL-71X_FROS,tr3UssCdUiQ,https://www.youtube.com/watch?v=tr3UssCdUiQ,1971 Hayward Family Christmas,1.000,High Confidence,AUTO_APPLY
PA-03_FROS,"Beattie Family in New Jersey, and Hayward Family Copper Mine Home in Michigan",placeholder_PA-03_FROS,YyqFwqQ7btU,https://www.youtube.com/watch?v=YyqFwqQ7btU,"Beattie Family in New Jersey, and Hayward Family Copper Mine Home in Michigan",1.000,High Confidence,AUTO_APPLY
L-53_FROS,Bob Linder's Family Films Part 1 - Rock City Georgia and Bible Camp with Rosabell Hayward and her daughter Marjorie who married Bob,placeholder_L-53_FROS,DOBXIdB1-Yk,https://www.youtube.com/watch?v=DOBXIdB1-Yk,Bob Linder's Family Films Part 1 - Rock City Georgia and Bible Camp with Rosabell Hayward & Marjorie,0.812,High Confidence,AUTO_APPLY
L-65_FROS,Bob Linder's Family Films Part 10 - Summer Bible School and Flower Garden,placeholder_L-65_FROS,_Tqn7OeCbbc,https://www.youtube.com/watch?v=_Tqn7OeCbbc,Bob Linder's Family Films Part 10 - Summer Bible School and Flower Garden,1.000,High Confidence,AUTO_APPLY
L-55A_FROS,"Bob Linder's Family Films Part 2 - House fire, Moving, Ferry Boats and Locks",placeholder_L-55A_FROS,dKtcJUovlY0,https://www.youtube.com/watch?v=dKtcJUovlY0,"Bob Linder's Family Films Part 2 - House fire, Moving, Ferry Boats and Locks",1.000,High Confidence,AUTO_APPLY
L-55B_FROS,"Bob Linder's Family Films Part 3 - Parade in Battle Creek, Michigan",placeholder_L-55B_FROS,ZkGHmbdsvcw,https://www.youtube.com/watch?v=ZkGHmbdsvcw,"Bob Linder's Family Films Part 3 - Parade in Battle Creek, Michigan",1.000,High Confidence,AUTO_APPLY
L-55C_FROS,"Bob Linder's Family Films Part 4 - Lindner Home in Coldwater, Michigan",placeholder_L-55C_FROS,Rj2A2fvTZgc,https://www.youtube.com/watch?v=Rj2A2fvTZgc,"Bob Linder's Family Films Part 4 - Lindner Home in Coldwater, Michigan",1.000,High Confidence,AUTO_APPLY
L-56A_FROS,Bob Linder's Family Films Part 5 - Niagara Falls,placeholder_L-56A_FROS,5U37bNfl5_s,https://www.youtube.com/watch?v=5U37bNfl5_s,Bob Linder's Family Films Part 5 - Niagara Falls,1.000,High Confidence,AUTO_APPLY
L-56B_FROS,Bob Linder's Family Films Part 6 - Damaged Film of Boats and Cars,placeholder_L-56B_FROS,XTC2su-NbOU,https://www.youtube.com/watch?v=XTC2su-NbOU,Bob Linder's Family Films Part 6 - Damaged Film of Boats and Cars,1.000,High Confidence,AUTO_APPLY
L-58_FROS,Bob Linder's Family Films Part 7 - Trip from Michigan to Cypress Gardens Florida,placeholder_L-58_FROS,TljSbghAytg,https://www.youtube.com/watch?v=TljSbghAytg,Bob Linder's Family Films Part 7 - Trip from Michigan to Cypress Gardens Florida,1.000,High Confidence,AUTO_APPLY
L-59_FROS,"Bob Linder's Family Films Part 8 - Parade in Battle Creek, Michigan",placeholder_L-59_FROS,ZkGHmbdsvcw,https://www.youtube.com/watch?v=ZkGHmbdsvcw,"Bob Linder's Family Films Part 3 - Parade in Battle Creek, Michigan",0.932,High Confidence,AUTO_APPLY
L-63_FROS,Bob Linder's Family Films Part 9 - Baseball Game and Squirrel,placeholder_L-63_FROS,c2g2yMwptoY,https://www.youtube.com/watch?v=c2g2yMwptoY,Bob Linder's Family Films Part 9 - Baseball Game and Squirrel,1.000,High Confidence,AUTO_APPLY
PA-01_FROS,"Christmas & Family Gatherings with Myres, Haywards, in-laws and cousins to John Sr. and Josephine",placeholder_PA-01_FROS,PgACRbYj6PM,https://www.youtube.com/watch?v=PgACRbYj6PM,"Christmas & Family Gatherings with Myres, Haywards, in-laws and cousins to John Sr. and Josephine",1.000,High Confidence,AUTO_APPLY
PBA-02_FROS,Christmas 1952 and John Jr. and Joy's 3rd Birthday in New Orleans,placeholder_PBA-02_FROS,Vf7waQlaiIg,https://www.youtube.com/watch?v=Vf7waQlaiIg,Christmas 1952 and John Jr. and Joy's 3rd Birthday in New Orleans,1.000,High Confidence,AUTO_APPLY
P-56_FROS,Disneyland 1955 and 1956 Visits,placeholder_P-56_FROS,x-Yljn76e-g,https://www.youtube.com/watch?v=x-Yljn76e-g,Disneyland 1955 and 1956 Visits,1.000,High Confidence,AUTO_APPLY
SL-72_FROS,Disneyland Trip 1972,placeholder_SL-72_FROS,brPYVHx8rhw,https://www.youtube.com/watch?v=brPYVHx8rhw,Disneyland Trip 1972,1.000,High Confidence,AUTO_APPLY
P-CC1_FROS,"Great Lakes trips with Earl and Rosabell Hayward, Lindners, and David and Gloria Myre",placeholder_P-CC1_FROS,VbYyF_IS83g,https://www.youtube.com/watch?v=VbYyF_IS83g,"Great Lakes trips with Earl and Rosabell Hayward, Lindners, and David and Gloria Myre",1.000,High Confidence,AUTO_APPLY
59-HI_FROS,"Hawaii 1959 - Trip with John and Josephine Hayward, and their eldest children John Jr. and Joy",placeholder_59-HI_FROS,tcS1VdrevYQ,https://www.youtube.com/watch?v=tcS1VdrevYQ,"Hawaii 1959 - Trip with John and Josephine Hayward, and their eldest children John Jr. and Joy",1.000,High Confidence,AUTO_APPLY
HR-1-4_FROS,"Hayward Family Holidays, Fairs, Parks, and Parades: Knott's Berry Farm, Santa's Village, Rose Parade",placeholder_HR-1-4_FROS,uzOGqPe84w8,https://www.youtube.com/watch?v=uzOGqPe84w8,"Hayward Family Holidays, Fairs, Parks, and Parades: Knott's Berry Farm, Santa's Village, Rose Parade",1.000,High Confidence,AUTO_APPLY
PB-07_FROS,Hayward Kids California Adventures 1956-1958 Part 1,placeholder_PB-07_FROS,I0XEIwKOd9E,https://www.youtube.com/watch?v=I0XEIwKOd9E,Hayward Kids California Adventures 1956-1958 Part 1,1.000,High Confidence,AUTO_APPLY
PB-08_FROS,Hayward Kids California Adventures 1956-1958 Part 2,placeholder_PB-08_FROS,Ox4Wew6h070,https://www.youtube.com/watch?v=Ox4Wew6h070,Hayward Kids California Adventures 1956-1958 Part 2,1.000,High Confidence,AUTO_APPLY
P-09-02_FROS,Hayward and Myre Great Grandparents in Michigan and Seattle,placeholder_P-09-02_FROS,-NjKNcZguPE,https://www.youtube.com/watch?v=-NjKNcZguPE,Hayward and Myre Great Grandparents in Michigan and Seattle,1.000,High Confidence,AUTO_APPLY
PB-05_FROS,"Haywards in Tulare and Reedley CA, Trip to Death Valley Nevada and Rhyolite Ghost Town with Wrens",placeholder_PB-05_FROS,toUwBlFfoq8,https://www.youtube.com/watch?v=toUwBlFfoq8,"Haywards in Tulare and Reedley CA, Trip to Death Valley Nevada and Rhyolite Ghost Town with Wrens",1.000,High Confidence,AUTO_APPLY
PBA-01_FROS,"Haywards move to New Orleans in 1952, Sightseeing with Rosabell Hayward",placeholder_PBA-01_FROS,X3N2A48_62E,https://www.youtube.com/watch?v=X3N2A48_62E,"Haywards move to New Orleans in 1952, Sightseeing with Rosabell Hayward",1.000,High Confidence,AUTO_APPLY
SLB-01_FROS,Jerusalem Footage of Bob Lindner - 1970,placeholder_SLB-01_FROS,hVyerzEGQYA,https://www.youtube.com/watch?v=hVyerzEGQYA,Jerusalem Footage of Bob Lindner - 1970,1.000,High Confidence,AUTO_APPLY
PB-04_FROS,John Sr. and Family Road Trip From Seattle to New Orleans,placeholder_PB-04_FROS,gDYaTp84HeM,https://www.youtube.com/watch?v=gDYaTp84HeM,John Sr. and Family Road Trip From Seattle to New Orleans,1.000,High Confidence,AUTO_APPLY
P-09-11_FROS,John Sr. and Josephine with Josephine's parent and the Wrens,placeholder_P-09-11_FROS,g96lX_kU9Fs,https://www.youtube.com/watch?v=g96lX_kU9Fs,John Sr. and Josephine with Josephine's parent and the Wrens,1.000,High Confidence,AUTO_APPLY
P-53_FROS,"John Sr., Josephine and Twins New Orleans year and Earl and Rosabell Hayward visit",placeholder_P-53_FROS,SzMqT8XEGQk,https://www.youtube.com/watch?v=SzMqT8XEGQk,"John Sr., Josephine and Twins New Orleans year and Earl and Rosabell Hayward visit",1.000,High Confidence,AUTO_APPLY
L-52_FROS,"John Sr., Josephine, and Rosabell in Michigan (Damaged)",placeholder_L-52_FROS,iDN9Q7fUQLY,https://www.youtube.com/watch?v=iDN9Q7fUQLY,"John Sr., Josephine, and Rosabell in Michigan (Damaged)",1.000,High Confidence,AUTO_APPLY
PA-02_FROS,"John and Josephine Hayward and their twin children, and Jo's family the Myres in 1949-50",placeholder_PA-02_FROS,XZhycmFm3Bg,https://www.youtube.com/watch?v=XZhycmFm3Bg,"John and Josephine Hayward and their twin children, and Jo's family the Myres in 1949-50",1.000,High Confidence,AUTO_APPLY
P-50_FROS,"John and Josephine Hayward visit Jo's family, the Myres, in Washington",placeholder_P-50_FROS,7wNQSleKT3g,https://www.youtube.com/watch?v=7wNQSleKT3g,"John and Josephine Hayward visit Jo's family, the Myres, in Washington",1.000,High Confidence,AUTO_APPLY
57-PT_FROS,Josephine Hayward (nee Myre) Arizona Trip 1957,placeholder_57-PT_FROS,rmHlOwO84XU,https://www.youtube.com/watch?v=rmHlOwO84XU,Josephine Hayward (nee Myre) Arizona Trip 1957,1.000,High Confidence,AUTO_APPLY
PB-01_FROS,"Reedley and Southern CA Adventures with Haywards and Wrens, Mark's Birthday 1956-1958",placeholder_PB-01_FROS,Bm5TYA163YU,https://www.youtube.com/watch?v=Bm5TYA163YU,"Reedley and Southern CA Adventures with Haywards and Wrens, Mark's Birthday 1956-1958",1.000,High Confidence,AUTO_APPLY
58-V2_FROS,"Road Trip to Montana, Victoria BC with Hayward Family - 1958",placeholder_58-V2_FROS,b_rIJqRTi_k,https://www.youtube.com/watch?v=b_rIJqRTi_k,"Road Trip to Montana, Victoria BC with Hayward Family - 1958",1.000,High Confidence,AUTO_APPLY
58-V1-FROS,"Road Trip to Nevada, Utah and Wyoming, and Michigan with Josephine, John Jr., Joy, Mark & James 1958",placeholder_58-V1-FROS,vDkbT5gO1T8,https://www.youtube.com/watch?v=vDkbT5gO1T8,"Road Trip to Nevada, Utah and Wyoming, and Michigan with Josephine, John Jr., Joy, Mark & James 1958",1.000,High Confidence,AUTO_APPLY
KO-1_FROS,"South Korea - 1953 - John Hayward Medical Mission Trip, Part 1 of 2",placeholder_KO-1_FROS,VU-VAuj1Uv8,https://www.youtube.com/watch?v=VU-VAuj1Uv8,"South Korea - 1953 - John Hayward MD - Medical Mission Trip, Part 1 of 2",0.952,High Confidence,AUTO_APPLY
KO-2_FROS,"South Korea - 1953 - John Hayward Medical Mission Trip, Part 2 of 2",placeholder_KO-2_FROS,21eo_jp93vk,https://www.youtube.com/watch?v=21eo_jp93vk,"South Korea - 1953 - John Hayward, MD - Medical Mission Trip, Part 2 of 2",0.949,High Confidence,AUTO_APPLY
P-60_FROS,"Train from CA to MI, Earl and Rosabell Hayward 50th Wedding Anniversary, San Francisco Trip with Irwin and Arlene Wren and Family",placeholder_P-60_FROS,rARxYXJQYvE,https://www.youtube.com/watch?v=rARxYXJQYvE,"Train from CA to MI, Earl and Rosabell Hayward 50th Wedding Anniversary, San Francisco with Wrens",0.860,High Confidence,AUTO_APPLY
PB-14_FROS,"Disneyland, Knott's Berry Farm, Marineland, Hearst Castle Trips in 1959 and construction of Hayward Family Cabin",placeholder_PB-14_FROS,uzOGqPe84w8,https://www.youtube.com/watch?v=uzOGqPe84w8,"Hayward Family Holidays, Fairs, Parks, and Parades: Knott's Berry Farm, Santa's Village, Rose Parade",0.290,Low Confidence,MANUAL_REVIEW_REQUIRED
